Iteration,Baseline,Direct RL
1,2,2
2,2,5
3,2,8
4,2,11
5,2,14
6,2,17
7,2,20
8,2,23
9,2,26
10,2,29
11,2,32
12,2,35
13,2,38
14,2,41
15,2,44
16,2,47
17,2,50
18,2,53
19,2,56
20,2,59
